"Model","Year","Week_ahead","MZE","macroMAE"
"extending","2015","1-week",0.275225211388736,0.721169706630505
"extending","2016","1-week",0.272246014657718,0.487616236109293
"extending","2017","1-week",0.255809555693667,0.638204777340139
"extending","2015","2-week",0.309417890244403,0.95613996569597
"extending","2016","2-week",0.344138756226442,0.665235535769565
"extending","2017","2-week",0.319184799375816,0.897821675273154
"extending","2015","3-week",0.314279212944356,1.05953643470195
"extending","2016","3-week",0.356272333781783,0.735901606174423
"extending","2017","3-week",0.328285393474812,1.08355746016856
"extending","2015","4-week",0.313199610998686,1.17949105596059
"extending","2016","4-week",0.378374876368505,0.824014807228643
"extending","2017","4-week",0.351272664356104,1.19321792323953
"fix","2015","1-week",0.276672280205345,0.822361393280131
"fix","2016","1-week",0.281899694108889,0.520020633771128
"fix","2017","1-week",0.267943182137556,0.644873289565516
"fix","2015","2-week",0.311080755690322,0.997189798538565
"fix","2016","2-week",0.348001944586258,0.674759407916188
"fix","2017","2-week",0.33931633557193,0.917895247194152
"fix","2015","3-week",0.317363618673755,1.10185192223299
"fix","2016","3-week",0.35662782237904,0.788579026543044
"fix","2017","3-week",0.355630783591941,1.14771842908548
"fix","2015","4-week",0.319975686969243,1.22081654893628
"fix","2016","4-week",0.380290527917485,0.835940159013031
"fix","2017","4-week",0.369694426683717,1.26784152797302
